Date,Open,High,Low,Close,Adj Close,Volume
"Jun 01, 2026",1594.47,1646.53,1585.61,1628.57,1628.57,"1,058,100"
"May 29, 2026",1633.47,1654.20,1604.86,1612.76,1612.76,"1,069,400"
"May 28, 2026",1617.09,1627.53,1580.00,1605.77,1605.77,"971,600"
"May 27, 2026",1637.35,1639.13,1583.00,1597.87,1597.87,"1,361,600"
"May 26, 2026",1641.85,1648.01,1604.25,1632.03,1632.03,"1,651,000"
"May 22, 2026",1620.03,1653.53,1615.85,1632.90,1632.90,"1,666,700"
"May 21, 2026",1548.68,1601.79,1545.94,1592.00,1592.00,"1,358,400"
"May 20, 2026",1502.38,1555.80,1492.32,1550.13,1550.13,"1,744,500"
"May 19, 2026",1449.93,1485.76,1441.31,1459.44,1459.44,"1,395,400"
"May 18, 2026",1521.25,1522.49,1453.34,1472.39,1472.39,"1,664,400"
"May 15, 2026",1511.74,1527.25,1486.64,1501.81,1501.81,"1,807,400"
"May 14, 2026",1573.74,1603.49,1563.28,1584.51,1584.51,"1,412,600"
"May 13, 2026",1539.39,1602.60,1521.08,1581.58,1581.58,"1,691,200"
"May 12, 2026",1526.14,1535.11,1475.00,1520.94,1520.94,"1,846,800"
"May 11, 2026",1559.30,1567.99,1521.36,1565.81,1565.81,"2,191,300"
"May 08, 2026",1538.53,1595.31,1531.16,1592.02,1592.02,"2,288,300"
"May 07, 2026",1548.74,1550.00,1497.81,1516.60,1516.60,"1,726,700"
"May 06, 2026",1503.09,1545.52,1496.00,1544.74,1544.74,"2,312,400"
"May 05, 2026",1432.42,1454.80,1414.39,1442.92,1442.92,"1,621,400"
"May 04, 2026",1401.77,1417.07,1366.79,1386.21,1386.21,"1,755,700"
"May 01, 2026",1428.29,1444.15,1414.00,1427.02,1427.02,"707,100"
"Apr 30, 2026",1414.34,1446.65,1395.00,1438.99,1438.99,"1,414,400"
"Apr 29, 2026",1386.71,1399.70,1374.92,1394.08,1394.08,"1,256,500"
"Apr 28, 2026",1389.73,1398.63,1364.81,1384.56,1384.56,"1,926,900"
