Date,Open,High,Low,Close,Adj Close,Volume
"Jun 02, 2026",285.00,285.55,280.80,281.55,281.55,"1,325,419"
"Jun 01, 2026",292.00,296.30,283.85,284.90,284.90,"4,578,113"
"May 29, 2026",294.10,297.65,290.10,292.95,292.95,"19,743,020"
"May 28, 2026",285.25,295.85,283.25,293.60,293.60,"5,307,467"
"May 27, 2026",285.10,290.20,282.80,290.10,290.10,"4,508,974"
"May 26, 2026",289.70,292.70,285.60,287.40,287.40,"4,167,921"
"May 22, 2026",284.55,291.25,282.00,289.00,289.00,"3,959,898"
"May 21, 2026",289.95,293.20,282.40,284.15,284.15,"4,133,116"
"May 20, 2026",282.00,290.65,282.00,288.40,288.40,"3,709,013"
"May 19, 2026",283.10,287.50,278.55,287.50,287.50,"4,237,279"
"May 18, 2026",295.00,295.00,284.35,286.00,286.00,"7,161,735"
"May 13, 2026",300.00,305.75,299.20,299.20,299.20,"5,398,216"
"May 12, 2026",296.60,305.00,295.55,296.50,296.50,"5,832,982"
"May 11, 2026",294.50,306.15,293.00,300.00,300.00,"7,276,927"
"May 08, 2026",293.70,294.00,287.00,290.30,290.30,"4,612,382"
"May 07, 2026",294.50,299.40,291.10,295.50,295.50,"5,514,138"
"May 06, 2026",300.00,312.05,290.00,293.00,293.00,"15,113,388"
"May 05, 2026",285.60,287.70,282.80,285.90,285.90,"6,769,658"
"May 04, 2026",279.85,287.60,278.05,282.95,282.95,"7,680,899"
"May 01, 2026",271.00,278.85,269.90,278.00,278.00,"4,590,381"
"Apr 30, 2026",255.60,272.95,255.60,272.25,272.25,"7,764,910"
"Apr 29, 2026",264.25,265.80,253.90,255.55,255.55,"4,700,209"
"Apr 28, 2026",259.05,266.25,259.05,265.15,265.15,"3,870,756"
"Apr 27, 2026",261.60,264.85,258.05,263.50,263.50,"4,482,257"
"Apr 24, 2026",245.70,263.15,243.95,259.95,259.95,"7,332,117"
"Apr 23, 2026",245.70,252.30,245.10,246.70,246.70,"4,153,094"
"Apr 22, 2026",252.60,252.90,247.75,249.00,249.00,"5,400,127"
"Apr 21, 2026",256.60,258.80,247.10,247.10,247.10,"4,887,197"
"Apr 20, 2026",255.20,258.15,252.85,257.90,257.90,"4,024,647"
"Apr 17, 2026",257.20,262.10,254.10,260.40,260.40,"6,424,325"
"Apr 16, 2026",257.50,264.50,255.50,257.20,257.20,"7,032,523"
"Apr 15, 2026",249.90,256.15,249.65,251.85,251.85,"6,242,006"
"Apr 14, 2026",244.80,248.95,242.80,246.15,246.15,"6,502,521"
"Apr 13, 2026",238.25,239.30,235.95,238.25,238.25,"3,589,683"
"Apr 10, 2026",238.00,244.95,237.55,240.65,240.65,"5,384,797"
"Apr 09, 2026",238.85,239.60,233.20,238.10,238.10,"4,450,325"
"Apr 08, 2026",239.85,243.90,239.50,240.10,240.10,"6,290,906"
"Apr 07, 2026",239.75,241.50,232.25,235.10,235.10,"6,672,218"
"Apr 01, 2026",239.95,241.50,233.45,236.90,236.90,"6,629,488"
"Mar 31, 2026",231.65,234.45,227.95,230.90,230.90,"7,480,833"
"Mar 30, 2026",228.00,231.15,227.15,231.15,231.15,"5,631,508"
"Mar 27, 2026",233.00,233.70,226.00,228.50,228.50,"7,106,231"
"Mar 26, 2026",232.00,242.05,228.35,238.45,230.50,"7,931,137"
"Mar 25, 2026",240.15,241.00,234.75,235.80,227.94,"4,852,685"
"Mar 24, 2026",235.30,239.10,234.60,238.00,230.07,"4,358,200"
"Mar 20, 2026",241.00,241.00,231.70,237.45,229.53,"16,147,260"
"Mar 19, 2026",239.00,240.75,235.25,237.90,229.97,"8,432,387"
"Mar 18, 2026",245.00,247.00,239.85,241.50,233.45,"7,632,616"
"Mar 17, 2026",249.80,254.25,249.00,249.15,240.84,"4,280,219"
"Mar 16, 2026",247.40,249.40,245.65,248.30,240.02,"4,148,811"
"Mar 13, 2026",247.00,252.00,246.45,247.05,238.81,"3,882,226"
"Mar 12, 2026",248.45,252.50,245.80,247.00,238.76,"5,192,142"
"Mar 11, 2026",248.00,251.20,246.50,249.80,241.47,"4,230,874"
"Mar 10, 2026",255.30,255.55,245.90,246.95,238.72,"5,377,279"
"Mar 09, 2026",245.40,255.85,244.35,254.50,246.01,"7,052,509"
"Mar 06, 2026",251.50,255.25,246.20,247.90,239.63,"6,333,052"
"Mar 05, 2026",248.25,251.25,244.30,248.65,240.36,"6,090,660"
"Mar 04, 2026",236.85,246.55,233.50,245.45,237.27,"7,209,616"
"Mar 03, 2026",237.80,240.30,230.85,231.50,223.78,"12,821,883"
"Mar 02, 2026",230.40,237.80,224.25,237.35,229.44,"8,114,378"
"Feb 27, 2026",238.00,239.40,236.55,237.90,229.97,"12,310,506"
"Feb 26, 2026",239.95,241.70,236.45,238.60,230.65,"9,810,429"
"Feb 25, 2026",243.50,245.55,238.00,238.40,230.45,"17,690,906"
"Feb 24, 2026",244.00,248.00,240.40,243.65,235.53,"22,606,769"
"Feb 23, 2026",300.00,300.90,251.30,251.40,243.02,"35,921,514"
"Feb 20, 2026",309.00,310.75,298.50,301.00,290.96,"5,683,130"
"Feb 19, 2026",312.10,313.15,305.85,307.40,297.15,"4,123,478"
"Feb 18, 2026",313.00,313.60,307.00,311.30,300.92,"4,203,106"
"Feb 17, 2026",307.75,311.55,307.60,309.90,299.57,"3,423,387"
"Feb 16, 2026",312.25,313.65,306.50,307.65,297.39,"2,763,198"
"Feb 13, 2026",311.95,314.85,308.50,310.60,300.24,"5,497,847"
"Feb 12, 2026",310.20,312.20,306.05,306.55,296.33,"4,304,409"
"Feb 11, 2026",309.70,312.00,302.85,306.70,296.47,"6,916,736"
"Feb 10, 2026",310.00,317.40,308.15,314.95,304.45,"6,647,932"
"Feb 09, 2026",317.05,321.95,309.35,311.00,300.63,"13,420,575"
"Feb 06, 2026",282.15,297.00,281.65,295.50,285.65,"13,166,493"
"Feb 05, 2026",302.25,303.60,272.90,280.65,271.29,"23,988,926"
"Feb 04, 2026",302.00,314.50,296.00,304.65,294.49,"35,788,341"
"Feb 03, 2026",374.00,376.55,367.05,367.80,355.54,"4,529,958"
"Feb 02, 2026",364.55,375.75,357.50,373.05,360.61,"6,046,003"
"Jan 30, 2026",366.55,377.65,366.45,369.55,357.23,"6,101,402"
"Jan 29, 2026",375.00,377.30,368.65,370.40,358.05,"6,038,622"
"Jan 28, 2026",390.00,391.20,379.45,381.45,368.73,"5,323,070"
"Jan 27, 2026",401.80,404.35,390.40,393.95,380.82,"4,151,804"
"Jan 26, 2026",397.80,402.45,393.80,397.05,383.81,"6,158,927"
"Jan 23, 2026",405.00,409.95,400.00,401.35,387.97,"10,032,291"
"Jan 22, 2026",387.45,397.30,383.30,396.70,383.47,"8,005,945"
"Jan 21, 2026",390.00,390.15,373.80,373.85,361.39,"7,405,559"
"Jan 20, 2026",377.00,389.80,375.25,389.50,376.51,"7,513,964"
"Jan 19, 2026",381.45,384.00,373.90,377.55,364.96,"6,695,226"
"Jan 16, 2026",375.00,391.30,374.05,388.90,375.93,"13,933,646"
"Jan 15, 2026",376.00,376.45,363.00,365.20,353.02,"7,646,277"
"Jan 14, 2026",380.10,384.40,375.55,378.25,365.64,"5,715,643"
"Jan 13, 2026",386.00,390.05,381.20,383.30,370.52,"5,491,997"
"Jan 12, 2026",382.00,387.45,378.35,379.10,366.46,"6,283,198"
"Jan 09, 2026",370.50,389.80,369.00,381.45,368.73,"8,947,255"
"Jan 08, 2026",362.90,370.35,361.60,370.35,358.00,"6,036,886"
"Jan 07, 2026",364.00,369.20,357.30,366.40,354.18,"7,585,587"
"Jan 06, 2026",353.90,371.00,352.20,364.05,351.91,"12,737,149"
"Jan 05, 2026",333.60,347.55,333.15,346.75,335.19,"8,589,568"
"Jan 02, 2026",329.00,332.50,327.10,330.25,319.24,"4,482,888"
