Date,Open,High,Low,Close,Adj Close,Volume
"Jun 01, 2026",93.08,94.53,90.50,93.39,93.39,"792,500"
"May 29, 2026",96.31,96.65,92.34,93.28,93.28,"1,247,300"
"May 28, 2026",95.28,98.22,94.11,96.79,96.79,"773,500"
"May 27, 2026",97.22,97.78,95.02,96.20,96.20,"991,600"
"May 26, 2026",89.99,94.44,89.99,94.42,94.42,"911,500"
"May 22, 2026",87.00,88.99,86.43,88.92,88.92,"581,600"
"May 21, 2026",84.30,87.10,83.14,86.71,86.71,"892,100"
"May 20, 2026",79.72,85.53,78.50,84.66,84.66,"836,600"
"May 19, 2026",79.80,80.34,78.35,79.42,79.42,"753,600"
"May 18, 2026",80.66,82.70,79.81,80.33,80.33,"777,000"
"May 15, 2026",80.16,80.96,79.01,79.45,79.45,"845,600"
"May 14, 2026",80.98,82.11,80.27,80.72,80.72,"1,152,500"
"May 13, 2026",82.03,82.18,78.49,80.29,80.29,"827,700"
"May 12, 2026",82.63,82.86,80.02,82.48,82.48,"1,158,800"
"May 11, 2026",89.02,89.11,82.07,83.30,83.30,"1,219,000"
"May 08, 2026",89.14,90.42,87.86,89.48,89.48,"773,400"
"May 07, 2026",92.77,92.82,86.84,88.62,88.62,"1,098,200"
"May 06, 2026",89.96,92.48,89.96,91.87,91.87,"937,000"
"May 05, 2026",88.65,89.61,86.57,88.32,88.32,"1,493,000"
"May 04, 2026",92.51,92.99,88.27,88.36,88.36,"802,900"
"May 01, 2026",92.44,93.34,91.05,91.64,91.64,"627,200"
"Apr 30, 2026",91.27,92.90,90.40,91.44,91.44,"1,106,200"
"Apr 29, 2026",92.33,93.05,90.44,91.00,91.00,"802,900"
"Apr 28, 2026",94.09,94.75,92.46,92.73,92.73,"681,300"
"Apr 27, 2026",93.60,95.02,91.73,93.39,93.39,"976,200"
"Apr 24, 2026",95.09,95.09,92.48,93.64,93.64,"970,000"
"Apr 23, 2026",93.62,96.33,93.62,95.35,95.35,"1,054,000"
"Apr 22, 2026",99.76,100.15,92.64,93.52,93.52,"1,433,300"
"Apr 21, 2026",98.58,100.00,97.81,98.81,98.81,"907,700"
"Apr 20, 2026",93.63,98.80,93.63,98.38,98.38,"1,386,700"
"Apr 17, 2026",90.00,95.96,90.00,94.17,94.17,"1,221,100"
"Apr 16, 2026",87.67,90.17,87.15,89.47,89.47,"1,590,100"
"Apr 15, 2026",87.57,88.37,85.17,87.19,87.19,"1,246,500"
"Apr 14, 2026",88.52,89.83,87.46,87.93,87.93,"1,339,400"
"Apr 13, 2026",89.42,89.55,86.10,89.01,89.01,"1,629,200"
"Apr 10, 2026",91.01,91.31,89.13,90.74,90.74,"986,200"
"Apr 09, 2026",87.38,91.56,86.62,91.09,91.09,"1,557,500"
"Apr 08, 2026",85.68,88.00,85.32,87.50,87.50,"2,152,800"
"Apr 07, 2026",80.35,83.18,79.67,82.63,82.63,"1,506,300"
"Apr 06, 2026",77.13,80.87,76.47,80.83,80.83,"1,611,700"
"Apr 02, 2026",74.66,77.32,71.10,77.11,77.11,"1,445,400"
"Apr 01, 2026",72.25,78.82,69.15,76.56,76.56,"2,645,100"
"Mar 31, 2026",67.42,70.00,66.70,69.76,69.76,"2,261,000"
"Mar 30, 2026",66.74,68.00,66.27,66.56,66.56,"2,000,000"
"Mar 27, 2026",65.90,67.26,65.76,66.40,66.40,"1,214,100"
"Mar 26, 2026",67.18,68.97,66.43,66.45,66.45,"977,800"
"Mar 25, 2026",66.42,67.53,64.93,67.08,67.08,"775,800"
"Mar 24, 2026",65.32,66.73,65.32,65.82,65.82,"1,041,900"
"Mar 23, 2026",64.97,66.93,64.37,66.31,66.31,"1,342,800"
"Mar 20, 2026",63.34,64.64,62.74,63.27,63.27,"1,531,000"
"Mar 19, 2026",61.58,64.35,60.90,64.00,64.00,"1,147,500"
"Mar 18, 2026",62.75,64.68,61.75,62.17,62.17,"1,150,700"
"Mar 17, 2026",63.08,64.22,62.81,63.47,63.47,"703,900"
"Mar 16, 2026",61.50,62.59,61.32,62.37,62.37,"643,800"
"Mar 13, 2026",61.57,61.76,60.28,60.87,60.87,"801,100"
"Mar 12, 2026",60.17,61.63,59.60,61.22,61.22,"860,500"
"Mar 11, 2026",63.07,63.54,60.91,61.03,61.03,"1,090,400"
"Mar 10, 2026",64.11,65.36,63.00,63.02,63.02,"1,177,500"
"Mar 09, 2026",63.31,64.92,61.35,64.56,64.56,"954,000"
"Mar 06, 2026",65.75,65.90,63.61,64.91,64.91,"1,129,300"
"Mar 05, 2026",65.72,66.61,64.86,65.65,65.65,"649,300"
"Mar 04, 2026",66.91,66.91,65.05,66.09,66.09,"553,100"
"Mar 03, 2026",64.40,66.96,64.00,66.56,66.52,"719,500"
"Mar 02, 2026",66.22,67.18,65.11,66.59,66.55,"1,087,700"
"Feb 27, 2026",68.74,69.25,67.35,68.60,68.56,"990,200"
"Feb 26, 2026",69.18,70.56,68.89,70.12,70.08,"515,600"
"Feb 25, 2026",69.14,69.37,67.59,68.68,68.64,"533,100"
"Feb 24, 2026",69.14,70.18,68.90,69.05,69.01,"800,200"
"Feb 23, 2026",71.11,71.25,68.02,69.12,69.08,"736,100"
"Feb 20, 2026",69.41,72.37,69.35,72.17,72.13,"1,153,200"
"Feb 19, 2026",68.80,69.86,68.55,69.67,69.63,"687,800"
"Feb 18, 2026",68.64,69.77,68.31,69.34,69.30,"692,300"
"Feb 17, 2026",69.43,70.45,68.15,69.33,69.29,"818,300"
"Feb 13, 2026",68.23,69.20,67.42,68.71,68.67,"740,300"
"Feb 12, 2026",69.12,69.95,66.94,68.15,68.11,"751,000"
"Feb 11, 2026",68.54,70.30,68.12,68.54,68.50,"787,800"
"Feb 10, 2026",67.01,69.43,67.00,68.54,68.50,"951,500"
"Feb 09, 2026",66.00,66.63,64.58,66.58,66.54,"944,200"
"Feb 06, 2026",64.80,66.80,64.24,66.12,66.08,"926,400"
"Feb 05, 2026",65.00,65.60,62.61,64.61,64.57,"1,019,100"
"Feb 04, 2026",62.79,65.73,62.79,65.65,65.61,"906,200"
"Feb 03, 2026",62.63,64.27,61.71,62.22,62.18,"932,800"
"Feb 02, 2026",62.20,63.37,61.52,62.80,62.76,"1,005,300"
"Jan 30, 2026",62.58,63.08,61.20,62.36,62.32,"1,044,300"
"Jan 29, 2026",61.43,62.34,60.43,62.16,62.12,"1,179,900"
"Jan 28, 2026",62.18,62.97,61.08,61.23,61.20,"965,600"
"Jan 27, 2026",62.21,62.48,61.25,62.36,62.32,"941,800"
"Jan 26, 2026",61.30,62.39,60.67,62.03,61.99,"1,041,600"
"Jan 23, 2026",61.01,61.49,60.57,61.35,61.31,"973,100"
"Jan 22, 2026",62.90,63.69,61.10,61.69,61.65,"1,123,600"
"Jan 21, 2026",62.69,63.56,61.52,62.29,62.25,"1,435,600"
"Jan 20, 2026",63.50,64.00,61.51,61.98,61.94,"1,338,300"
"Jan 16, 2026",67.04,67.05,64.45,64.63,64.59,"1,123,800"
"Jan 15, 2026",65.39,67.69,64.80,67.59,67.55,"851,600"
"Jan 14, 2026",65.69,68.12,65.16,65.60,65.56,"941,400"
"Jan 13, 2026",64.73,66.00,64.73,65.51,65.47,"827,300"
"Jan 12, 2026",64.77,65.85,63.95,64.55,64.51,"992,300"
"Jan 09, 2026",68.52,68.85,64.65,66.24,66.20,"1,486,900"
"Jan 08, 2026",65.25,69.23,65.23,68.33,68.29,"1,767,200"
"Jan 07, 2026",69.45,69.51,65.61,66.01,65.97,"1,196,400"
"Jan 06, 2026",68.30,70.26,67.80,70.01,69.97,"1,144,400"
"Jan 05, 2026",67.83,69.20,67.44,68.39,68.35,"735,400"
"Jan 02, 2026",67.74,68.47,66.70,67.82,67.78,"677,600"
"Dec 31, 2025",68.00,68.16,66.77,67.02,66.98,"672,300"
"Dec 30, 2025",68.13,68.30,67.69,68.08,68.04,"571,600"
"Dec 29, 2025",67.88,68.33,67.26,68.22,68.18,"798,300"
"Dec 26, 2025",68.86,68.95,68.12,68.65,68.61,"378,000"
"Dec 24, 2025",68.19,69.02,67.78,68.91,68.87,"273,200"
"Dec 23, 2025",69.44,69.57,67.72,68.08,68.04,"605,700"
"Dec 22, 2025",71.08,71.13,68.66,69.40,69.36,"768,500"
"Dec 19, 2025",70.55,71.13,69.83,70.60,70.56,"1,239,200"
"Dec 18, 2025",72.35,72.92,70.71,71.03,70.99,"1,170,000"
"Dec 17, 2025",71.55,72.87,70.97,71.72,71.68,"745,200"
"Dec 16, 2025",74.45,75.05,72.57,72.93,72.89,"741,500"
"Dec 15, 2025",75.45,76.22,74.27,74.50,74.46,"821,800"
"Dec 12, 2025",78.11,78.85,75.17,75.27,75.23,"774,900"
"Dec 11, 2025",76.32,78.36,75.41,77.27,77.23,"1,025,400"
"Dec 10, 2025",74.56,76.47,74.21,75.53,75.49,"1,319,300"
"Dec 09, 2025",75.40,76.77,74.85,76.12,76.08,"765,600"
"Dec 08, 2025",77.69,77.69,74.52,74.84,74.80,"1,254,500"
"Dec 05, 2025",76.64,78.62,76.00,78.49,78.45,"1,421,100"
"Dec 04, 2025",85.00,85.00,76.47,77.16,77.12,"3,137,000"
"Dec 03, 2025",85.75,88.61,85.33,87.55,87.50,"1,835,900"
"Dec 02, 2025",85.50,85.85,83.64,84.74,84.69,"848,500"
"Dec 01, 2025",83.49,86.60,82.83,85.25,85.20,"769,300"
"Nov 28, 2025",84.21,85.57,84.02,84.76,84.71,"311,500"
"Nov 26, 2025",81.89,84.42,81.89,84.19,84.14,"619,700"
"Nov 25, 2025",78.81,83.03,78.10,82.03,81.95,"783,700"
"Nov 24, 2025",76.53,78.29,76.05,77.86,77.78,"816,500"
"Nov 21, 2025",73.59,76.99,73.00,76.62,76.54,"713,100"
"Nov 20, 2025",73.53,74.74,72.64,72.79,72.71,"599,700"
