Date,Open,High,Low,Close,Adj Close,Volume
"Jun 01, 2026",43.90,43.96,43.07,43.10,43.10,"31,195,900"
"May 29, 2026",44.67,44.72,44.25,44.42,44.42,"23,048,500"
"May 28, 2026",45.03,45.27,44.58,44.63,44.63,"19,383,000"
"May 27, 2026",45.25,45.37,44.95,45.14,45.14,"16,869,400"
"May 26, 2026",45.59,45.64,45.33,45.33,45.33,"13,738,200"
"May 22, 2026",45.06,45.44,44.92,45.35,45.35,"15,187,100"
"May 21, 2026",44.55,45.01,44.44,45.00,45.00,"18,781,100"
"May 20, 2026",44.66,44.86,44.41,44.51,44.51,"17,584,800"
"May 19, 2026",43.82,44.41,43.62,44.34,44.34,"22,307,100"
"May 18, 2026",44.07,44.21,43.53,43.94,43.94,"31,554,300"
"May 15, 2026",44.71,44.77,43.83,43.87,43.87,"21,857,600"
"May 14, 2026",44.63,44.92,44.55,44.90,44.90,"18,472,900"
"May 13, 2026",44.80,44.82,44.36,44.67,44.67,"27,268,600"
"May 12, 2026",45.06,45.38,44.80,45.19,45.19,"28,240,500"
"May 11, 2026",45.10,45.31,44.83,45.14,45.14,"22,669,300"
"May 08, 2026",45.36,45.51,44.69,44.72,44.72,"18,158,100"
"May 07, 2026",45.62,45.68,45.00,45.12,45.12,"23,499,400"
"May 06, 2026",46.28,46.38,45.64,45.71,45.71,"26,315,500"
"May 05, 2026",46.53,46.82,46.36,46.37,46.37,"17,499,600"
"May 04, 2026",46.26,46.85,46.09,46.37,46.37,"18,054,200"
"May 01, 2026",46.84,47.30,46.52,46.55,46.55,"15,507,000"
"Apr 30, 2026",45.85,46.89,45.85,46.85,46.85,"22,378,500"
"Apr 29, 2026",46.07,46.27,45.56,45.68,45.68,"12,655,100"
"Apr 28, 2026",46.44,46.52,46.04,46.25,46.25,"13,016,000"
"Apr 27, 2026",46.37,46.50,46.17,46.19,46.19,"14,543,100"
"Apr 24, 2026",46.03,46.30,45.74,46.18,46.18,"24,158,700"
